\xE1\xBE\x92	\xCE\xB7
\xE1\xBE\x93	\xCE\xB7
\xE1\xBE\x94	\xCE\xB7
\xE1\xBE\x95	\xCE\xB7
\xE1\xBE\x96	\xCE\xB7
\xE1\xBE\x97	\xCE\xB7
\xE1\xBE\x98	\xCE\x97
\xE1\xBE\x99	\xCE\x97
\xE1\xBE\x9A	\xCE\x97
\xE1\xBE\x9B	\xCE\x97
\xE1\xBE\x9C	\xCE\x97
\xE1\xBE\x9D	\xCE\x97
\xE1\xBE\x9E	\xCE\x97
\xE1\xBE\x9F	\xCE\x97
\xE1\xBE\xA0	\xCF\x89
\xE1\xBE\xA1	\xCF\x89
\xE1\xBE\xA2	\xCF\x89
\xE1\xBE\xA3	\xCF\x89
\xE1\xBE\xA4	\xCF\x89
\xE1\xBE\xA5	\xCF\x89
\xE1\xBE\xA6	\xCF\x89
\xE1\xBE\xA7	\xCF\x89
\xE1\xBE\xA8	\xCE\xA9
\xE1\xBE\xA9	\xCE\xA9
\xE1\xBE\xAA	\xCE\xA9
\xE1\xBE\xAB	\xCE\xA9
\xE1\xBE\xAC	\xCE\xA9
\xE1\xBE\xAD	\xCE\xA9
\xE1\xBE\xAE	\xCE\xA9
\xE1\xBE\xAF	\xCE\xA9
\xE1\xBE\xB0	\xCE\xB1
\xE1\xBE\xB1	\xCE\xB1
\xE1\xBE\xB2	\xCE\xB1
\xE1\xBE\xB3	\xCE\xB1
\xE1\xBE\xB4	\xCE\xB1
\xE1\xBE\xB6	\xCE\xB1
\xE1\xBE\xB6	\xCE\xB1
\xE1\xBE\xB7	\xCE\xB1
\xE1\xBE\xB8	\xCE\x91
\xE1\xBE\xB9	\xCE\x91
\xE1\xBE\xBA	\xCE\x91
\xE1\xBE\xBB	\xCE\x91
\xE1\xBE\xBC	\xCE\x91
\xE1\xBE\xBD	
\xE1\xBE\xBE	
\xE1\xBE\xBF	
\xE1\xBF\x80	
\xE1\xBF\x81	
\xE1\xBF\x83	\xCE\xB7
\xE1\xBF\x84	\xCE\xB7
\xE1\xBF\x86	\xCE\xB7
\xE1\xBF\x87	\xCE\xB7
\xE1\xBF\x8D	
\xE1\xBF\x8E	
\xE1\xBF\x8F	
\xE1\xBF\x90	\xCE\xB9
\xE1\xBF\x91	\xCE\xB9
\xE1\xBF\x92	\xCE\xB9
\xE1\xBF\x96	\xCE\xB9
\xE1\xBF\x97	\xCE\xB9
\xE1\xBF\x98	\xCE\x99
\xE1\xBF\x99	\xCE\x99
\xE1\xBF\x9A	\xCE\x99
\xE1\xBF\x9B	\xCE\x99
\xE1\xBF\x9D	
\xE1\xBF\x9E	
\xE1\xBF\x9F	
\xE1\xBF\xA0	\xCF\x85
\xE1\xBF\xA1	\xCF\x85
\xE1\xBF\xA2	\xCF\x85
\xE1\xBF\xA3	\xCF\x85
\xE1\xBF\xA4	\xCF\x81
\xE1\xBF\xA5	\xCF\x81
\xE1\xBF\xA6	\xCF\x85
\xE1\xBF\xA7	\xCF\x85
\xE1\xBF\xA8	\xCE\xA5
\xE1\xBF\xA9	\xCE\xA5
\xE1\xBF\xAA	\xCE\xA5
\xE1\xBF\xAB	\xCE\xA5
\xE1\xBF\xAC	\xCE\xA1
\xE1\xBF\xAD	
\xE1\xBF\xAE	
\xE1\xBF\xAF	
\xE1\xBF\xB2	\xCF\x89
\xE1\xBF\xB3	\xCF\x89
\xE1\xBF\xB4	\xCF\x89
\xE1\xBF\xB6	\xCF\x89
\xE1\xBF\xB7	\xCF\x89
\xE1\xBF\xB8	\xCE\x9F
\xE1\xBF\xB9	\xCE\x9F
\xE1\xBF\xBA	\xCE\xA9
\xE1\xBF\xBB	\xCE\xA9
\xE1\xBF\xBC	\xCE\xA9
\xE1\xBF\xBD	
\xE1\xBF\xBE	
